version,pred_cc,gt_cc,TP,FP,FN,comp_precision,comp_recall,comp_f1,fp_vol_mean,fp_vol_p50,fp_vol_p90,fp_vol_max
rcmin0,281,307,174,107,133,0.6192170818505338,0.5667752442996743,0.5918367346938775,270.15887451171875,5.0,341.198486328125,6900.0
rcmin120,147,274,130,17,144,0.8843537414965986,0.4744525547445255,0.6175771971496438,1616.5882568359375,594.0,4482.59912109375,6792.0
