case_id,WT,TC,ET,RC,mean_wt_tc_et,dice_1_netc,dice_2_snf_h,dice_3_et,dice_4_rc
BraTS-GLI-00543-100,0.8762901137223227,0.0,0.0,0.8829948351520329,0.2920967045741076,1.0,0.8775675571389986,0.0,0.8829948351520329
BraTS-GLI-00543-101,0.8684955523301766,0.0,0.0,0.8922875066628398,0.2894985174433922,1.0,0.869838523644752,0.0,0.8922875066628398
BraTS-GLI-00549-100,0.776723070573669,1.0,1.0,0.8154859967051071,0.9255743568578897,1.0,0.776723070573669,1.0,0.8154859967051071
BraTS-GLI-00549-101,0.7652708895724779,1.0,1.0,0.8295819935691319,0.921756963190826,1.0,0.7652708895724779,1.0,0.8295819935691319
BraTS-GLI-00553-100,0.5880101510171818,1.0,1.0,0.937975732911297,0.8626700503390605,1.0,0.5880101510171818,1.0,0.937975732911297
BraTS-GLI-00553-101,0.8766538714974532,0.9206484641638225,0.9125874125874126,0.9560316841968576,0.9032965827495628,0.75,0.8717096445611966,0.9125874125874126,0.9560316841968576
BraTS-GLI-00557-100,0.9585808345772916,0.8839129626185606,0.9472662568747978,0.2612708555200568,0.92992001802355,0.0602688919796013,0.9663946730874987,0.9472662568747978,0.2612708555200568
BraTS-GLI-00557-101,0.9616304073615799,0.9185120280388721,0.9308283154960744,0.6936170212765957,0.9369902502988422,0.6011812247435498,0.9464522232734153,0.9308283154960744,0.6936170212765957
BraTS-GLI-02062-100,0.9150384109495034,0.8319502074688797,0.8319502074688797,0.801164271420775,0.8596462752957543,1.0,0.9162692208743147,0.8319502074688797,0.801164271420775
BraTS-GLI-02062-101,0.8892862228832735,0.03621730382293763,0.03621730382293763,0.8626544992491625,0.3205736101763829,1.0,0.8957609007687155,0.03621730382293763,0.8626544992491625
BraTS-GLI-02062-102,0.9347606755853719,0.6711409395973155,0.6711409395973155,0.8607231431927946,0.7590141849266675,1.0,0.9366066209681705,0.6711409395973155,0.8607231431927946
BraTS-GLI-02062-103,0.8896656292394861,0.5686274509803921,0.5686274509803921,0.885058809828811,0.6756401770667567,1.0,0.891030893055087,0.5686274509803921,0.885058809828811
BraTS-GLI-02062-104,0.8163685047925803,0.7244897959183674,0.7244897959183674,0.8325219084712756,0.7551160322097717,1.0,0.8171209304165513,0.7244897959183674,0.8325219084712756
BraTS-GLI-02062-105,0.9734017037465884,0.9721452145214522,0.9714096185737977,0.7718681318681319,0.9723188456139461,0.18666666666666668,0.9684379727685325,0.9714096185737977,0.7718681318681319
BraTS-GLI-02063-100,0.9718397064206915,0.8883536286185825,0.9538461538461539,0.0,0.9380131629618093,0.06174957118353345,0.9763540357053055,0.9538461538461539,0.0
BraTS-GLI-02063-101,0.9511563136526764,0.9138537729701551,0.95343495510545,0.0,0.9394816805760938,0.20429009193054137,0.9524311585214587,0.95343495510545,0.0
BraTS-GLI-02063-102,0.960811995491444,0.9342118202379782,0.9325044404973357,0.7767195767195767,0.9425094187422527,0.5714285714285714,0.9586880728955812,0.9325044404973357,0.7767195767195767
BraTS-GLI-02063-103,0.9697224037700801,0.8814984709480123,0.8773148148148148,0.8642871546682799,0.9095118965109691,0.0,0.9695318028009163,0.8773148148148148,0.8642871546682799
BraTS-GLI-02063-104,0.982636102485375,0.8413344182262001,0.8413344182262001,0.8104072398190045,0.8884349796459251,1.0,0.9828215325324915,0.8413344182262001,0.8104072398190045
BraTS-GLI-02063-105,0.9796756991156839,0.7822318526543879,0.7822318526543879,0.7846867749419953,0.8480464681414865,1.0,0.9801541605718258,0.7822318526543879,0.7846867749419953
BraTS-GLI-02063-106,0.9796737694834763,0.7534456355283308,0.7534456355283308,0.7662650602409639,0.8288550135133793,1.0,0.9799594405861983,0.7534456355283308,0.7662650602409639
BraTS-GLI-02093-100,0.9284779470296963,0.7749399038461539,0.7749399038461539,0.9803839061397756,0.8261192515740013,1.0,0.9280621396065875,0.7749399038461539,0.9803839061397756
BraTS-GLI-02093-101,0.9570305543541863,0.7462951985773563,0.7462951985773563,0.9799094267375217,0.8165403171696329,1.0,0.9646842735090307,0.7462951985773563,0.9799094267375217
BraTS-GLI-02093-102,0.9527486810918266,0.7924905132814061,0.7924905132814061,0.9791535589950086,0.8459099025515463,1.0,0.9540065607687805,0.7924905132814061,0.9791535589950086
BraTS-GLI-02093-103,0.9624281285604515,0.6323783224024854,0.6323783224024854,0.9767681573104979,0.7423949244551408,1.0,0.9656540607563546,0.6323783224024854,0.9767681573104979
BraTS-GLI-02093-104,0.9366789667896679,0.605457227138643,0.605457227138643,0.9721613417008127,0.7158644736889846,1.0,0.937128375085291,0.605457227138643,0.9721613417008127
BraTS-GLI-02093-105,0.9399013997012913,0.3850403739906502,0.3850403739906502,0.9724173330451696,0.5699940492275306,1.0,0.9418601478732982,0.3850403739906502,0.9724173330451696
BraTS-GLI-02093-106,0.944448695386028,0.4685212298682284,0.4685212298682284,0.9747424213742936,0.6271637183741616,1.0,0.9470944213947834,0.4685212298682284,0.9747424213742936
BraTS-GLI-02093-107,0.9569145524272242,0.571921749136939,0.571921749136939,0.9790136685570917,0.7002526835670341,1.0,0.9619347172712658,0.571921749136939,0.9790136685570917
BraTS-GLI-02093-108,0.9479445870834862,0.6096440872560276,0.6096440872560276,0.9791998755880409,0.7224109205318472,1.0,0.9526784681244939,0.6096440872560276,0.9791998755880409
BraTS-GLI-02093-109,0.9412571820598576,0.4878472222222222,0.4878472222222222,0.9734974692880942,0.6389838755014341,1.0,0.9440520824250879,0.4878472222222222,0.9734974692880942
BraTS-GLI-02124-100,0.9127625201938611,0.83268719118206,0.8612621129756559,0.9168894289185905,0.8689039414505256,0.0,0.9177728965714832,0.8612621129756559,0.9168894289185905
BraTS-GLI-02124-101,0.9681332944822654,0.9370890175679655,0.9436306911321453,0.8834965865241912,0.9496176677274587,0.7464212678936605,0.9695021862973641,0.9436306911321453,0.8834965865241912
BraTS-GLI-02135-100,0.9724042148485855,0.9663145874964316,0.9596598673887736,1.0,0.966126223244597,0.9167327517842981,0.9680261245581613,0.9596598673887736,1.0
BraTS-GLI-02135-101,0.9774049757361498,0.9601669195751138,0.9563864140372719,1.0,0.9646527697828451,0.8767123287671232,0.9711432312392493,0.9563864140372719,1.0
BraTS-GLI-02136-100,0.9411398053576235,0.9616719628452701,0.9376739920741493,0.3980154355016538,0.9468285867590143,0.9299412161511034,0.8697146322563256,0.9376739920741493,0.3980154355016538
BraTS-GLI-02136-101,0.9236850278099326,0.9113158449961319,0.8972756810797301,0.4657267865824016,0.9107588512952649,0.8560469314079422,0.8470283018867925,0.8972756810797301,0.4657267865824016
BraTS-GLI-02136-102,0.9346140388500739,0.950235751105465,0.9234006734006734,0.37310806054206264,0.9360834877854041,0.8493936627982788,0.8668596844578718,0.9234006734006734,0.37310806054206264
BraTS-GLI-02136-103,0.9581234256926953,0.9657375837485992,0.9550524572059635,0.45241809672386896,0.9596378222157527,0.9246635203635728,0.9290012936125537,0.9550524572059635,0.45241809672386896
BraTS-GLI-02164-100,0.8366070129492216,0.6991391280199944,0.9316382460414129,0.0,0.8224614623368763,0.05257753132059971,0.9105152154263332,0.9316382460414129,0.0
