case_id,NETC_tp,NETC_fp,NETC_fn,NETC_prec,NETC_rec,NETC_f1,NETC_lesion_dice,SNFH_tp,SNFH_fp,SNFH_fn,SNFH_prec,SNFH_rec,SNFH_f1,SNFH_lesion_dice,ET_tp,ET_fp,ET_fn,ET_prec,ET_rec,ET_f1,ET_lesion_dice,RC_tp,RC_fp,RC_fn,RC_prec,RC_rec,RC_f1,RC_lesion_dice
BraTS-GLI-00543-100,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.863859804675803,0,2,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8829948351520783
BraTS-GLI-00543-101,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.8400868390877625,0,2,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8922875066628839
BraTS-GLI-00549-100,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.6666666644444444,0.3999999992,0.49999999406250006,0.6913970784460096,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.815485996705297
BraTS-GLI-00549-101,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.9999999900000002,0.249999999375,0.3999999952,0.7639992372721262,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8295819935692884
BraTS-GLI-00553-100,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.5999999988,0.49999999916666665,0.5454545395041324,0.5372005456276417,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9379757329113125
BraTS-GLI-00553-101,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.6792452830793877,2,1,3,0.6666666644444444,0.3999999992,0.49999999406250006,0.8389844949073355,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.8481518481561695,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.956031684196869
BraTS-GLI-00557-100,2,4,0,0.33333333277777777,0.999999995,0.49999999500000003,0.3565781156748317,2,2,1,0.49999999875,0.6666666644444444,0.5714285648979592,0.8449610169859694,2,0,1,0.999999995,0.6666666644444444,0.799999992,0.674025185365182,2,0,2,0.999999995,0.49999999875,0.6666666600000001,0.45757724011472445
BraTS-GLI-00557-101,3,9,1,0.24999999979166665,0.7499999981250001,0.37499999578125004,0.6048615525431202,4,3,4,0.571428570612245,0.49999999937499995,0.5333333276444445,0.6779182617296935,2,3,0,0.3999999992,0.999999995,0.5714285657142857,0.8801580573090312,1,0,4,0.9999999900000002,0.1999999996,0.33333332944444444,0.7392290249462673
BraTS-GLI-02062-100,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.9162873540471173,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8319502074697512,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8011642714211367
BraTS-GLI-02062-101,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.9999999900000002,0.249999999375,0.3999999952,0.895832336475446,1,0,5,0.9999999900000002,0.16666666638888888,0.2857142824489796,0.07692307696252465,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8626544992493211
BraTS-GLI-02062-102,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.4999999975,0.4999999975,0.4999999925000001,0.9366439493576798,1,0,5,0.9999999900000002,0.16666666638888888,0.2857142824489796,0.7194244604345383,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.8610603290678231
BraTS-GLI-02062-103,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.8910238902366706,1,0,2,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.6236559139886114,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8850588098289448
BraTS-GLI-02062-104,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.4999999975,0.4999999975,0.4999999925000001,0.7244520842286797,1,0,4,0.9999999900000002,0.1999999996,0.33333332944444444,0.8068181818203771,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.8775981524250993
BraTS-GLI-02062-105,1,3,2,0.249999999375,0.3333333322222222,0.28571428000000004,0.6086956523440454,1,2,0,0.3333333322222222,0.9999999900000002,0.49999999375000004,0.968758571766378,3,0,0,0.9999999966666667,0.9999999966666667,0.9999999916666666,0.8476233948518114,1,0,2,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.7989080982720704
BraTS-GLI-02063-100,3,2,0,0.5999999988,0.9999999966666667,0.7499999934375,0.5700228091047267,1,0,2,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.9763785863360921,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9538461538461762,0,0,4,0.0,0.0,0.0,0.0
BraTS-GLI-02063-101,3,3,1,0.49999999916666665,0.7499999981250001,0.5999999940000001,0.5643478701127549,1,2,2,0.3333333322222222,0.3333333322222222,0.33333332722222225,0.9533017769845618,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9534349551054824,0,0,2,0.0,0.0,0.0,0.0
BraTS-GLI-02063-102,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.6060606061799817,1,2,2,0.3333333322222222,0.3333333322222222,0.33333332722222225,0.957008123781738,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9325044404974023,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.7767195767203643
BraTS-GLI-02063-103,0,0,3,0.0,0.0,0.0,0.0,2,1,0,0.6666666644444444,0.999999995,0.799999992,0.6515580477407937,1,0,2,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.6463104325717745,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8642871546685535
BraTS-GLI-02063-104,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.49999999875,0.6666666644444444,0.5714285648979592,0.7472155893157784,3,0,0,0.9999999966666667,0.9999999966666667,0.9999999916666666,0.7811222257628513,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.8105906313649908
BraTS-GLI-02063-105,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.6666666644444444,0.49999999875,0.5714285648979592,0.5060050805772798,3,1,1,0.7499999981250001,0.7499999981250001,0.7499999931250001,0.8122218697155444,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.7848688790907754
BraTS-GLI-02063-106,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.9799641277053699,4,0,0,0.9999999975,0.9999999975,0.9999999925,0.7863585461188101,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.766819387509605
BraTS-GLI-02093-100,0,0,0,0.0,0.0,0.0,0.0,3,0,0,0.9999999966666667,0.9999999966666667,0.9999999916666666,0.5274705435314863,1,0,3,0.9999999900000002,0.249999999375,0.3999999952,0.8116677235259803,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9803839061397779
BraTS-GLI-02093-101,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.911085373196021,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.7663347853146136,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9799094267375241
BraTS-GLI-02093-102,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.9048886962425857,1,2,0,0.3333333322222222,0.9999999900000002,0.49999999375000004,0.7269617276037482,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9791535589950116
BraTS-GLI-02093-103,0,0,0,0.0,0.0,0.0,0.0,3,0,1,0.9999999966666667,0.7499999981250001,0.8571428497959185,0.6978210585336271,3,0,1,0.9999999966666667,0.7499999981250001,0.8571428497959185,0.4158017997281962,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.9785656600426332
BraTS-GLI-02093-104,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.999999995,0.6666666644444444,0.799999992,0.8876360599077114,2,0,3,0.999999995,0.3999999992,0.5714285657142857,0.7335748341069455,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9721613417008165
BraTS-GLI-02093-105,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.882724787322382,2,1,2,0.6666666644444444,0.49999999875,0.5714285648979592,0.33710536327042817,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9724173330451734
BraTS-GLI-02093-106,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.999999995,0.6666666644444444,0.799999992,0.9075955927575148,3,0,2,0.9999999966666667,0.5999999988,0.7499999934375,0.6144006446347913,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9747424213742969
BraTS-GLI-02093-107,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.9382482589608263,3,0,2,0.9999999966666667,0.5999999988,0.7499999934375,0.42075827886444994,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9790136685570945
BraTS-GLI-02093-108,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.6666666644444444,0.6666666644444444,0.6666666594444445,0.9215334344408956,3,0,5,0.9999999966666667,0.37499999953124996,0.5454545404958677,0.6446259446366466,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9791998755880436
BraTS-GLI-02093-109,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.6666666644444444,0.6666666644444444,0.6666666594444445,0.9000317600408507,3,2,1,0.5999999988,0.7499999981250001,0.6666666602469137,0.5927735079666784,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9734974692880975
BraTS-GLI-02124-100,0,0,1,0.0,0.0,0.0,0.0,3,4,8,0.4285714279591837,0.2727272724793388,0.33333332820987654,0.7430504288962233,4,0,0,0.9999999975,0.9999999975,0.9999999925,0.6841398674528699,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.916889428918641
BraTS-GLI-02124-101,1,13,2,0.07142857137755101,0.3333333322222222,0.11764705577854677,0.9441316587269635,2,6,2,0.24999999968749997,0.49999999875,0.33333332833333335,0.5082766606281296,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.9435748281332778,1,0,3,0.9999999900000002,0.249999999375,0.3999999952,0.8842840166370438
BraTS-GLI-02135-100,5,1,0,0.8333333319444445,0.9999999980000001,0.909090902479339,0.8664250052441025,2,1,0,0.6666666644444444,0.999999995,0.799999992,0.8304412991468457,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.8222006027197157,0,0,0,0.0,0.0,0.0,0.0
BraTS-GLI-02135-101,6,0,6,0.9999999983333333,0.4999999995833333,0.6666666614814816,0.8756001480432696,1,3,1,0.249999999375,0.4999999975,0.33333332777777785,0.9705168227540775,2,4,0,0.33333333277777777,0.999999995,0.49999999500000003,0.9443144680864628,0,0,0,0.0,0.0,0.0,0.0
BraTS-GLI-02136-100,5,6,4,0.45454545413223135,0.5555555549382716,0.49999999455000005,0.5696749407051088,4,12,10,0.24999999984375,0.28571428551020406,0.2666666615111112,0.783382153532506,3,1,2,0.7499999981250001,0.5999999988,0.6666666602469137,0.5426595628803869,1,1,3,0.4999999975,0.249999999375,0.33333332777777785,0.4011111111144383
